조사년도,개방ID,학교명,학교급명,시도명,학제유형명,유초중등학생_학생수,초등과정졸업생수,중등과정졸업생수,고등과정졸업생수,유초중등학생_졸업생수,취업자수,일반고진학학생수,특수목적고등학교진학학생수,자율고등학교진학학생수,특성화고진학학생수,특수학급학생수,진학학생수,국내대학진학학생수,국내전문대학진학학생수,국내각종학교진학학생수,국내교육대학진학학생수
2019,1166649937,덕일전자공업고등학교,해당없음,서울,특성화고등학교,278,0,0,0,102,43,0,0,0,0,0,27,2,25,0,0
2019,1168171286,봉림중학교,해당없음,서울,중학교,288,0,0,0,125,0,71,0,0,23,1,95,0,0,0,0
2019,1176796197,새현대유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1178000509,한신유치원,해당없음,서울,유치원,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
2019,1179605007,서울온수초등학교,해당없음,서울,초등학교,1030,0,0,0,177,0,0,0,0,0,13,177,0,0,0,0
2019,1181942820,이솔유치원,해당없음,서울,유치원,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2019,1185577750,서울문백초등학교,해당없음,서울,초등학교,730,0,0,0,98,0,0,0,0,0,5,98,0,0,0,0
2019,1195965409,서울세곡초등학교,해당없음,서울,초등학교,623,0,0,0,87,0,0,0,0,0,11,87,0,0,0,0
2019,1197918593,서울창천초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2019,1199016690,보배유치원,해당없음,서울,유치원,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2019,1201795995,아이들이야기유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1220915853,경기기계공업고등학교,해당없음,서울,특성화고등학교,1174,0,0,0,422,153,0,0,0,0,24,100,36,64,0,0
2019,1232318997,개포고등학교,해당없음,서울,일반고등학교,643,0,0,0,354,0,0,0,0,0,0,181,132,49,0,0
2019,1241097331,상계중학교,해당없음,서울,중학교,576,0,0,0,221,0,163,0,0,36,11,200,0,0,0,0
2019,1249445974,서울영중초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2019,1257230281,조은유치원,해당없음,서울,유치원,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
2019,1267622232,상아유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1267807304,빛나유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1274543404,서울항동초등학교,해당없음,서울,초등학교,161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,1290291726,경성유치원,해당없음,서울,유치원,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
2019,1291321158,서울쌍문초등학교,해당없음,서울,초등학교,690,0,0,0,139,0,0,0,0,0,9,139,0,0,0,0
2019,1294337034,서울마천초등학교,해당없음,서울,초등학교,995,0,0,0,143,0,0,0,0,0,6,143,0,0,0,0
2019,1302193760,여명학교,해당없음,서울,각종학교,72,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0
2019,1303493022,청담몬테소리유치원,해당없음,서울,유치원,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
2019,1304289102,초안유치원,해당없음,서울,유치원,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
2019,1308374106,신현유치원,해당없음,서울,유치원,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
2019,1316127300,꿈동산유치원,해당없음,서울,유치원,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
2019,1325881958,경희여자중학교,해당없음,서울,중학교,420,0,0,0,170,0,114,0,0,16,0,131,0,0,0,0
2019,1329996466,서울자양초등학교,해당없음,서울,초등학교,473,0,0,0,101,0,0,0,0,0,7,101,0,0,0,0
2019,1333670020,하늘빛유치원,해당없음,서울,유치원,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
2019,1335568487,서울애화학교,해당없음,서울,특수학교,130,4,15,12,39,0,0,0,0,0,0,4,0,0,0,0
2019,1339494168,이루니유치원,해당없음,서울,유치원,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
2019,1342080354,서울등명초등학교,해당없음,서울,초등학교,104,0,0,0,34,0,0,0,0,0,2,34,0,0,0,0
2019,1343044877,강신중학교,해당없음,서울,중학교,770,0,0,0,282,0,206,0,0,60,3,267,0,0,0,0
2019,1354081094,서울산업정보학교,해당없음,서울,각종학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1354915261,침례유치원,해당없음,서울,유치원,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
2019,1361254394,서울체육고등학교,해당없음,서울,특수목적고등학교,408,0,0,0,127,12,0,0,0,0,0,103,90,13,0,0
2019,1361703395,언주중학교,해당없음,서울,중학교,947,0,0,0,311,0,239,0,0,7,0,253,0,0,0,0
2019,1361942648,한양중학교,해당없음,서울,중학교,206,0,0,0,65,0,31,0,0,27,0,61,0,0,0,0
2019,1379234850,서울강명초등학교,해당없음,서울,초등학교,1341,0,0,0,192,0,0,0,0,0,5,192,0,0,0,0
2019,1383279085,해누리중학교,해당없음,서울,중학교,325,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2019,1386630237,고명외식고등학교,해당없음,서울,특성화고등학교,323,0,0,0,135,13,0,0,0,0,0,43,3,40,0,0
2019,1386821210,서울개화초등학교,해당없음,서울,초등학교,140,0,0,0,32,0,0,0,0,0,8,32,0,0,0,0
2019,1389112889,상암고등학교,해당없음,서울,자율고등학교,952,0,0,0,351,0,0,0,0,0,27,191,101,89,0,1
2019,1409101784,인헌고등학교,해당없음,서울,일반고등학교,536,0,0,0,198,0,0,0,0,0,0,140,59,81,0,0
2019,1411878407,서울아주초등학교,해당없음,서울,초등학교,519,0,0,0,123,0,0,0,0,0,0,123,0,0,0,0
2019,1412035048,서울송천초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2019,1414530575,강남유치원,해당없음,서울,유치원,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
2019,1428159415,경일고등학교,해당없음,서울,자율고등학교,372,0,0,0,201,3,0,0,0,0,5,110,61,49,0,0
2019,1429984390,서울아이티고등학교,해당없음,서울,특성화고등학교,718,0,0,0,247,102,0,0,0,0,0,61,28,32,0,0
2019,1430517613,방산중학교,해당없음,서울,중학교,465,0,0,0,185,0,138,0,0,21,7,161,0,0,0,0
2019,1436136305,평화유치원,해당없음,서울,유치원,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2019,1437779426,내곡중학교,해당없음,서울,중학교,202,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2019,1445913493,서울진관초등학교,해당없음,서울,초등학교,1029,0,0,0,194,0,0,0,0,0,9,194,0,0,0,0
2019,1457945346,은별유치원,해당없음,서울,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1461486935,환일고등학교,해당없음,서울,일반고등학교,762,0,0,0,346,0,0,0,0,0,0,205,153,49,0,1
2019,1463836550,한서유치원,해당없음,서울,유치원,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
2019,1463937938,서울동일초등학교,해당없음,서울,초등학교,724,0,0,0,128,0,0,0,0,0,0,128,0,0,0,0
2019,1469006240,관악중학교,해당없음,서울,중학교,342,0,0,0,127,0,84,0,0,37,4,121,0,0,0,0
2019,1472490429,성보유치원,해당없음,서울,유치원,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2019,1475087881,신현고등학교,해당없음,서울,일반고등학교,618,0,0,0,254,10,0,0,0,0,27,130,94,36,0,0
2019,1475802421,서울신내초등학교,해당없음,서울,초등학교,956,0,0,0,148,0,0,0,0,0,9,148,0,0,0,0
2019,1489327728,아랑유치원,해당없음,서울,유치원,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
2019,1489330947,예린유치원,해당없음,서울,유치원,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
2019,1502588570,수산유치원,해당없음,서울,유치원,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
2019,1506826996,서울컨벤션고등학교,해당없음,서울,특성화고등학교,757,0,0,0,249,62,0,0,0,0,0,118,25,93,0,0
2019,1517534911,율화유치원,해당없음,서울,유치원,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
2019,1517779529,강서고등학교,해당없음,서울,일반고등학교,971,0,0,0,504,0,0,0,0,0,0,227,212,14,0,0
2019,1520460665,서울장안초등학교,해당없음,서울,초등학교,574,0,0,0,81,0,0,0,0,0,8,81,0,0,0,0
2019,1525411486,서울장위초등학교,해당없음,서울,초등학교,659,0,0,0,119,0,0,0,0,0,14,119,0,0,0,0
2019,1536964833,미성중학교,해당없음,서울,중학교,498,0,0,0,178,0,123,0,0,44,7,167,0,0,0,0
2019,1542698323,서울동신초등학교,해당없음,서울,초등학교,425,0,0,0,61,0,0,0,0,0,3,61,0,0,0,0
2019,1544229328,애동유치원,해당없음,서울,유치원,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
2019,1551922976,길물빛유치원,해당없음,서울,유치원,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
2019,1555145919,광남중학교,해당없음,서울,중학교,1131,0,0,0,383,0,280,0,0,6,0,295,0,0,0,0
2019,1556142091,한성여자중학교,해당없음,서울,중학교,445,0,0,0,179,0,134,0,0,42,0,176,0,0,0,0
2019,1562633574,서울정덕초등학교,해당없음,서울,초등학교,1167,0,0,0,168,0,0,0,0,0,8,168,0,0,0,0
2019,1565427899,양지유치원,해당없음,서울,유치원,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
2019,1566096305,현대유치원,해당없음,서울,유치원,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2019,1567522704,바다의별유치원,해당없음,서울,유치원,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
2019,1568303763,서울언주초등학교병설유치원,해당없음,서울,유치원,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2019,1571127593,세희유치원,해당없음,서울,유치원,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2019,1576211452,하나고등학교,해당없음,서울,자율고등학교,617,0,0,0,207,0,0,0,0,0,0,158,158,0,0,0
2019,1578098118,서울공덕초등학교,해당없음,서울,초등학교,702,0,0,0,121,0,0,0,0,0,6,121,0,0,0,0
2019,1586669385,서울은천초등학교,해당없음,서울,초등학교,1137,0,0,0,178,0,0,0,0,0,22,178,0,0,0,0
2019,1586753070,한국삼육중학교,해당없음,서울,각종학교,465,0,0,0,170,0,153,2,3,6,0,0,0,0,0,0
