k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,safetyScore,safetyClass,hospitalScore,educationScore,cluster,DistanceToCenter,score,class
A13407201,명일삼익그린11차,강동구,명일동,127.1504982,37.5518066,37.5248066,37.5788066,127.1234982,127.1774982,0.3553087172211209,1.0,0.6308650865289821,0.64180192992595,2,-0.2801398374714178,0.4207281222029994,1.0
A13980801,공릉대동1차,노원구,공릉동,127.072532,37.6198604,37.5928604,37.6468604,127.045532,127.099532,0.33666056512330356,1.0,0.26921308059131305,0.64180192992595,2,-0.3070645514117399,0.3938034082626773,1.0
A15210101,오류동선,구로구,오류동,126.8394712,37.4936836,37.4666836,37.5206836,126.8124712,126.8664712,0.3752233366183185,1.0,0.38876416230823957,0.64180192992595,2,-0.2517329396076199,0.4491350200667973,1.0
A15001001,여의도초원,영등포구,여의도동,126.9231927,37.5309637,37.5039637,37.5579637,126.8961927,126.9501927,0.39066015091758866,1.0,0.5263456632169478,0.8310349179822684,2,-0.4277287958211641,0.2731391638532531,1.0
A15881701,목동금강에스쁘아,양천구,목동,126.8714021,37.5380526,37.5110526,37.5650526,126.8444021,126.8984021,0.34890540715549045,1.0,0.6742396216661319,0.8310349179822684,2,-0.4638514747089812,0.23701648496543598,1.0
A13285601,방학신동아5단지,도봉구,방학동,127.0285219,37.6636195,37.6366195,37.6906195,127.0015219,127.0555219,0.3231330086930806,1.0,0.19396328331714338,0.8310349179822684,2,-0.5018961882057982,0.198971771468619,1.0
A13980102,공릉신원,노원구,공릉동,127.0751067,37.6277644,37.6007644,37.6547644,127.0481067,127.1021067,0.3787167148686873,1.0,0.5294476341389569,0.8310349179822684,2,-0.4259663531040924,0.27490160657032475,1.0
A15886501,신정학마을3단지,양천구,신정동,126.8472095,37.5115753,37.4845753,37.5385753,126.8202095,126.8742095,0.4566570348279152,1.0,0.6948552088902691,0.8310349179822684,2,-0.494309083911057,0.20655887576336018,1.0
A13186502,신내우남푸르미아,중랑구,신내동,127.0987566,37.6061739,37.5791739,37.6331739,127.0717566,127.1257566,0.3384544480102608,1.0,0.5615841614512427,0.5819843371236297,2,-0.1913516886193036,0.5095162710551135,1.0
A13780201,엠브이아파트,서초구,반포동,127.0102751,37.4992014,37.4722014,37.5262014,126.9832751,127.0372751,0.6539424047694217,0.0,0.282822490884047,0.5819843371236297,0,-0.28054894967800553,0.6536013802965421,0.0
A13203001,쌍문동북한산월드메르디앙,도봉구,쌍문동,127.0139503,37.653846,37.626846,37.680846,126.9869503,127.0409503,0.3562696918655942,1.0,0.3123103195545513,0.5819843371236297,2,-0.23756916470954315,0.46329879496487403,1.0
A15383601,독산진도2차,금천구,독산동,126.8922168,37.4700234,37.4430234,37.4970234,126.8652168,126.9192168,0.41357021948427,1.0,0.7250896970816479,0.5819843371236297,2,-0.3198425545193033,0.38102540515511385,1.0
A15381402,독산계룡,금천구,독산동,126.8927936,37.4671531,37.4401531,37.4941531,126.8657936,126.9197936,0.45157512709925696,1.0,0.7158401099783674,0.5819843371236297,2,-0.32746206212384815,0.373405897550569,1.0
A15805101,목동대원칸타빌,양천구,목동,126.8650937,37.5285923,37.5015923,37.5555923,126.8380937,126.8920937,0.4443404025826694,1.0,0.20967139880454586,0.31100126835241865,2,-0.3150252891033641,0.3858426705710531,1.0
A15288801,신도림우성5차,구로구,신도림동,126.8837922,37.5127235,37.4857235,37.5397235,126.8567922,126.9107922,0.6452374732290677,0.0,0.35851451595532885,0.31100126835241865,0,-0.15856697285460924,0.7755833571199384,0.0
A15722201,마곡서광2차아파트,강서구,방화동,126.8106819,37.5720228,37.5450228,37.5990228,126.7836819,126.8376819,0.0068793373724455875,2.0,0.7442994145030752,0.31100126835241865,2,-0.4175694332467216,0.2832985264276956,1.0
A13786901,서초1차e편한세상,서초구,서초동,127.0067349,37.4812021,37.4542021,37.5082021,126.9797349,127.0337349,0.4299981342121447,1.0,0.5453170941635813,0.31100126835241865,2,-0.1755787712983534,0.5252891883760638,1.0
A15881702,목동성원,양천구,목동,126.8699072,37.5358469,37.5088469,37.5628469,126.8429072,126.8969072,0.3889063945368205,1.0,0.3563416706742205,0.31100126835241865,2,-0.1765572567347789,0.5243107029396383,1.0
A12204001,북한산수자인,은평구,불광동,126.9321696,37.6216983,37.5946983,37.6486983,126.9051696,126.9591696,0.35746876671199734,1.0,0.2468601831318222,0.7352238102880951,2,-0.3958941673527602,0.304973792321657,1.0
A13295201,브라운스톤쌍문,도봉구,쌍문동,127.0295935,37.6471154,37.6201154,37.6741154,127.0025935,127.0565935,0.40178492508171837,1.0,0.9923844701922803,0.7352238102880951,2,-0.6167892224378235,0.08407873723659365,1.0
A13527001,도곡동양재디오빌,강남구,도곡동,127.0335386,37.4864782,37.4594782,37.5134782,127.0065386,127.0605386,0.7432345006239491,0.0,0.6894726043928248,0.7352238102880951,0,-0.40214077038043783,0.5320095595941098,0.0
A15884901,유원목동,양천구,신정동,126.8736268,37.5217974,37.4947974,37.5487974,126.8466268,126.9006268,0.7049183589018135,0.0,0.4741861533661311,0.7352238102880951,0,-0.3433824533813585,0.5907678765931892,0.0
A13486401,천호현대,강동구,천호동,127.1329005,37.5383992,37.5113992,37.5653992,127.1059005,127.1599005,0.31506730602600874,1.0,0.5427949007702307,0.7352238102880951,2,-0.3279057901528746,0.3729621695215426,1.0
