구분,주소,이름,lat,lon
1,서울특별시 중구  을지로 234,서울중부 을지,37.5664734170529,127.003943654119
1,서울특별시 중구  퇴계로 375-1,서울중부 광희,37.5652684538307,127.013376356837
1,"서울특별시 중구  동호로 5길 15, 약수지구대",서울중부 약수,37.5521442775352,127.0123820902
2,서울특별시 중구  다산로 248 ,서울중부 신당,37.5650442671787,127.01638496365
2,서울특별시 중구  동호로 261,서울중부 장충,37.5587633776035,127.004802045236
2,서울특별시 중구  퇴계로 178,서울중부 충무,37.5608715980974,126.991580763073
2,서울특별시 중구 충무로56-1,서울중부 을지로3가,37.5661815238113,126.992848341729
1,서울특별시 종로구  종로17길 4 ,서울종로 종로2가,37.5705022157858,126.988922852655
2,서울특별시 종로구 삼일대로15길 19 1층,서울종로 관수,37.5686968013869,126.986345479877
2,서울특별시 종로구  세검정로 226 ,서울종로 세검정,37.6000216905431,126.958463372948
2,서울특별시 종로구  평창문화로 46,서울종로 평창,37.6052486740828,126.966627287785
2,서울특별시 종로구  삼청로 66,서울종로 삼청,37.5814096566494,126.981122583707
2,서울특별시 종로구  효자로 9,서울종로 통의,37.576770888086,126.974006743819
2,서울특별시 종로구  자하문로 92-1,서울종로 청운,37.5842278806099,126.970583868348
2,서울특별시 종로구  자하문로17길 24,서울종로 옥인,37.5814734297903,126.96942633294
2,서울특별시 종로구  송월길 152,서울종로 교남,37.571813578256,126.962199186657
2,서울특별시 중구  세종대로 141,서울종로 세종로,37.5689472465748,126.976429659029
2,서울특별시 종로구  경희궁길 6-3,서울종로 신문로,37.5707552628269,126.972233913231
2,서울특별시 종로구  사직로9가길 6 1층,서울종로 사직,37.5765653446751,126.969040837991
2,서울특별시 종로구 우정국로 45-3 1층,서울종로 청진,37.5729712701818,126.982661854905
2,서울특별시 중구  다동길 11,서울남대문 태평로,37.5680079853085,126.979991439354
2,서울특별시 중구  통일로 13,서울남대문 서울역,37.5568085815143,126.971566147912
2,서울특별시 중구  명동길 30 명동파출소,서울남대문 명동,37.5635895671109,126.983968494252
2,서울특별시 중구  남대문시장4길 28-16,서울남대문 남대문,37.5590136645085,126.97639193096
2,서울특별시 중구  중림로 36,서울남대문 중림,37.5578893434364,126.967115615717
2,서울특별시 중구  퇴계로6길 3-15,서울남대문 회현,37.5584412507708,126.978707165189
2,서울특별시 중구  서소문로 131-1 서소문파출소,서울남대문 서소문,37.5638265102548,126.975466927468
1,서울특별시 서대문구  독립문로 25-1,서울서대문 충정로,37.5698843736468,126.961109299589
1,서울특별시 서대문구  신촌역로 22,서울서대문 신촌,37.5585525829582,126.943009871743
2,서울특별시 서대문구 세검정로1길 112,서울서대문 홍은,37.5952477134009,126.946423973198
2,서울특별시 서대문구  연희로25길 73,서울서대문 연희,37.5702755077088,126.932849090842
2,서울특별시 서대문구  가재울로4길 51,서울서대문 남가좌,37.5760408583713,126.924038302317
2,서울특별시 서대문구  응암로1길 13,서울서대문 북가좌,37.5813233182072,126.910566763346
2,서울특별시 서대문구  통일로 441-1,서울서대문 홍제,37.5881707286561,126.944553282812
2,서울특별시 서대문구  연희로 298,서울서대문 홍은2,37.5836053290869,126.936211181249
2,서울특별시 종로구  창경궁로 279 ,서울혜화 혜화,37.5861083962149,127.001407548091
2,서울특별시 종로구  이화장2길 33,서울혜화 대학로,37.578611713366,127.006045329114
2,서울특별시 종로구  성균관로 78,서울혜화 명륜,37.5892784329492,126.99759929956
2,서울특별시 종로구  지봉로13길 20-12,서울혜화 창신,37.5784936918859,127.013541968647
2,서울특별시 종로구  종로58가길 19 동묘파출소,서울혜화 동묘,37.5726963187211,127.017117455617
2,서울특별시 종로구  창신길 98,서울혜화 덕산,37.5759851806728,127.010526201078
2,서울특별시 종로구  동호로 407,서울혜화 종로5가,37.5707367126759,127.0016317274
2,서울특별시 종로구  종로41나길 24-6,서울혜화 효제,37.5729430706406,127.004866460652
1,서울특별시 용산구  백범로 329,서울용산 원효,37.5389037956572,126.965012154483
1,"서울특별시 용산구  후암로16나길 17, 용중지구대",서울용산 용중,37.549159039208,126.978479404326
2,서울특별시 용산구  이태원로 184,서울용산 이태원,37.5343115810699,126.994403686332
2,"서울특별시 용산구  대사관로34길 53, 한남파출소",서울용산 한남,37.5310848781248,127.006342547451
2,"서울특별시 용산구  보광로 25-1, 보광파출소",서울용산 보광,37.5265772465655,127.000208837482
2,서울특별시 용산구  한강대로198-2,서울용산 삼각지,37.5361101058592,126.974708440403
1,서울특별시 용산구  서빙고로67,서울용산 한강로,37.5248628078572,126.970412727842
1,서울특별시 성북구  아리랑로5길 54,서울성북 돈암,37.597322581692,127.012403387654
1,서울특별시 성북구  지봉로21길 45,서울성북 안암,37.5867215345551,127.016598379745
1,서울특별시 성북구  삼양로13길 51 길음지구대,서울성북 길음,37.6106064012716,127.019265676419
2,서울특별시 성북구  솔샘로 111,서울성북 정릉,37.6160729681366,127.008602830264
2,서울특별시 성북구  정릉로26길 6 정릉2파출소,서울성북 정릉2,37.6045609452845,127.010720369254
2,서울특별시 성북구  성북로 94  성북파출소,서울성북 성북,37.5932727259297,126.998471952841
1,서울시 동대문구 사가정로 2길 9,서울동대문 답십리,37.5712942968163,127.051067616943
1,서울특별시 동대문구  청계천로549,서울동대문 용신,37.5728434233834,127.037208959975
2,서울특별시 동대문구 약령시로21길 15,서울동대문 청량리,37.584106726199,127.045272425948
2,서울특별시 동대문구 약령시로 17길 59-11,서울동대문 제기,37.5855626699461,127.042026415272
2,서울특별시 동대문구 서울시립대로 56,서울동대문 전농1,37.5761294460211,127.047938093483
2,서울특별시 동대문구 전농로38다길 21,서울동대문 전농2,37.5863730931314,127.054229172919
2,서울특별시 동대문구 한천로20길 9,서울동대문 장안1,37.5696342993256,127.065004726024
