k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,fireVal,policeVal,cctvVal,cluster,DistanceToCenter,score,class
A13403001,성내2차e-편한세상,강동구,성내동,127.1264298,37.53436,37.50736,37.56136,127.0994298,127.1534298,0.42105263157894735,0.08695652173913043,0.42848727615457116,2,0.08568866642332883,0.7264019820501045,1.0
A15609001,사당유니드,동작구,사당동,126.9752458,37.493362,37.466362,37.520362,126.9482458,127.0022458,0.42105263157894735,0.08695652173913043,0.527803958529689,2,0.1028338922586583,0.7435472078854339,1.0
A13186801,신내다우훼밀리,중랑구,신내동,127.0971514,37.6060585,37.5790585,37.633058500000004,127.0701514,127.1241514,0.3157894736842105,0.13043478260869565,0.4414467483506126,2,0.10448215096184195,0.7451954665886177,1.0
A13407201,명일삼익그린11차,강동구,명일동,127.1504982,37.5518066,37.5248066,37.5788066,127.1234982,127.1774982,0.3684210526315789,0.13043478260869565,0.3435438265786993,2,0.13088698977485233,0.771600305401628,1.0
A13980801,공릉대동1차,노원구,공릉동,127.072532,37.6198604,37.5928604,37.6468604,127.045532,127.099532,0.3157894736842105,0.13043478260869565,0.4845664467483506,2,0.10494889565632425,0.7456622112831,1.0
A15210101,오류동선,구로구,오류동,126.8394712,37.4936836,37.466683599999996,37.5206836,126.8124712,126.8664712,0.3157894736842105,0.13043478260869565,0.34083411875589065,2,0.15858663902426168,0.7992999546510373,1.0
A15001001,여의도초원,영등포구,여의도동,126.9231927,37.5309637,37.5039637,37.5579637,126.8961927,126.9501927,0.5789473684210527,0.17391304347826086,0.39467483506126294,2,0.18005801806945787,0.8207713336962336,1.0
A15881701,목동금강에스쁘아,양천구,목동,126.8714021,37.5380526,37.5110526,37.5650526,126.8444021,126.8984021,0.47368421052631576,0.08695652173913043,0.532163053722903,2,0.12198049553986172,0.7626938111666374,1.0
A13285601,방학신동아5단지,도봉구,방학동,127.0285219,37.6636195,37.6366195,37.690619500000004,127.0015219,127.0555219,0.3684210526315789,0.21739130434782608,0.40893025447690856,2,0.0861331422218652,0.7268464578486409,1.0
A13980102,공릉신원,노원구,공릉동,127.0751067,37.6277644,37.600764399999996,37.6547644,127.0481067,127.10210670000001,0.2631578947368421,0.17391304347826086,0.39514608859566447,2,0.16344564989967647,0.8041589655264522,1.0
A15886501,신정학마을3단지,양천구,신정동,126.8472095,37.5115753,37.484575299999996,37.5385753,126.8202095,126.8742095,0.5789473684210527,0.13043478260869565,0.6736569274269557,2,0.2718544264972922,0.9125677421240679,1.0
A13186502,신내우남푸르미아,중랑구,신내동,127.0987566,37.6061739,37.5791739,37.6331739,127.0717566,127.1257566,0.3157894736842105,0.13043478260869565,0.42954759660697456,2,0.10744404385736024,0.748157359484136,1.0
A13780201,엠브이아파트,서초구,반포동,127.0102751,37.4992014,37.472201399999996,37.5262014,126.9832751,127.0372751,0.47368421052631576,0.5652173913043478,0.6643496701225259,0,0.18540230728803775,1.1869759766188066,0.0
A13203001,쌍문동북한산월드메르디앙,도봉구,쌍문동,127.0139503,37.653846,37.626846,37.680846,126.9869503,127.0409503,0.3157894736842105,0.17391304347826086,0.3717012252591894,2,0.13222362895728293,0.7729369445840586,1.0
A15383601,독산진도2차,금천구,독산동,126.8922168,37.4700234,37.4430234,37.4970234,126.8652168,126.9192168,0.47368421052631576,0.21739130434782608,0.6578699340245052,2,0.21192409850613894,0.8526374141329146,1.0
A15381402,독산계룡,금천구,독산동,126.8927936,37.4671531,37.440153099999996,37.4941531,126.8657936,126.9197936,0.2631578947368421,0.30434782608695654,0.6310084825636192,2,0.26478589765453164,0.9054992132813073,1.0
A15805101,목동대원칸타빌,양천구,목동,126.8650937,37.5285923,37.5015923,37.5555923,126.8380937,126.8920937,0.47368421052631576,0.08695652173913043,0.696277097078228,2,0.2547229721459588,0.8954362877727344,1.0
A15288801,신도림우성5차,구로구,신도림동,126.8837922,37.5127235,37.4857235,37.5397235,126.8567922,126.9107922,0.6842105263157894,0.30434782608695654,0.6522148916116871,0,0.17329444092118887,1.1748681102519578,0.0
A15722201,마곡서광2차아파트,강서구,방화동,126.8106819,37.5720228,37.5450228,37.5990228,126.7836819,126.8376819,0.21052631578947367,0.043478260869565216,0.1389019792648445,1,0.04012304963647486,0.28696279275322517,2.0
A13786901,서초1차e편한세상,서초구,서초동,127.0067349,37.4812021,37.454202099999996,37.5082021,126.9797349,127.0337349,0.3684210526315789,0.3913043478260869,0.5083647502356268,2,0.234774019299773,0.8754873349265487,1.0
A15881702,목동성원,양천구,목동,126.8699072,37.5358469,37.5088469,37.562846900000004,126.8429072,126.8969072,0.5263157894736842,0.08695652173913043,0.5730442978322338,2,0.17761868264218736,0.8183319982689631,1.0
A12204001,북한산수자인,은평구,불광동,126.9321696,37.6216983,37.5946983,37.6486983,126.9051696,126.9591696,0.3157894736842105,0.08695652173913043,0.411875589066918,2,0.1338914465543308,0.7746047621811065,1.0
A13295201,브라운스톤쌍문,도봉구,쌍문동,127.0295935,37.6471154,37.620115399999996,37.6741154,127.0025935,127.0565935,0.5789473684210527,0.2608695652173913,0.49764373232799247,2,0.1955316927693944,0.8362450083961701,1.0
A13527001,도곡동양재디오빌,강남구,도곡동,127.0335386,37.4864782,37.4594782,37.5134782,127.0065386,127.0605386,0.2631578947368421,0.4782608695652174,0.6986333647502356,0,0.30960049991144756,1.3111741692422165,0.0
A15884901,유원목동,양천구,신정동,126.8736268,37.5217974,37.494797399999996,37.5487974,126.8466268,126.9006268,0.631578947368421,0.17391304347826086,0.6510367577756833,0,0.25630579891188104,1.25787946824265,0.0
A13486401,천호현대,강동구,천호동,127.1329005,37.5383992,37.5113992,37.5653992,127.1059005,127.1599005,0.42105263157894735,0.13043478260869565,0.39620640904806786,2,0.074914392298914,0.7156277079256896,1.0
A13187501,중화극동,중랑구,중화동,127.0837949,37.6036519,37.5766519,37.630651900000004,127.0567949,127.1107949,0.3684210526315789,0.13043478260869565,0.6181668237511782,2,0.16600393625588467,0.8067172518826604,1.0
A15185201,신림현대성우,관악구,신림동,126.9372705,37.4837087,37.4567087,37.5107087,126.9102705,126.9642705,0.631578947368421,0.30434782608695654,0.8045475966069745,0,0.1545404107392334,1.1561140800700023,0.0
A11084601,평창롯데,종로구,평창동,126.9756922,37.6091332,37.5821332,37.6361332,126.9486922,127.0026922,0.10526315789473684,0.0,0.0,1,0.17531523405531,0.4221549771720603,2.0
A13820002,문정세양청마루,송파구,문정동,127.1370266,37.4924314,37.4654314,37.5194314,127.1100266,127.1640266,0.21052631578947367,0.21739130434782608,0.22855796418473137,1,0.17194101897683842,0.4187807620935887,2.0
A15101501,보라매갑을,관악구,신림동,126.9219256,37.4891251,37.4621251,37.516125100000004,126.8949256,126.9489256,0.7368421052631579,0.43478260869565216,0.980325164938737,0,0.3154959405934857,1.3170696099242545,0.0
A13312101,성수두산위브,성동구,성수동2가,127.0584774,37.5372327,37.510232699999996,37.5642327,127.0314774,127.0854774,0.894736842105263,0.6086956521739131,0.7517672007540056,0,0.3850600408134125,1.3866337101441815,0.0
