구분,주소,이름
2,서울특별시 광진구 능동로 385,서울광진 중곡1
2,서울특별시 광진구  능동로 346,서울광진 중곡2
2,서울특별시 광진구 동일로76가길 28,서울광진 중곡3
2,서울특별시 광진구  용마산로24길 7,서울광진 중곡4
2,서울특별시 광진구 뚝섬로36길 9,서울광진 자양
2,서울특별시 광진구  자양번영로 80,서울광진 자양1
2,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,서울광진 자양4
2,서울특별시 광진구 광나루로 43길 26 구의파출소,서울광진 구의
1,서울특별시 은평구  은평로 171,서울서부 응암
1,서울특별시 은평구  은평터널로5길 6호,서울서부 신사
2,서울특별시 은평구  진흥로 진흥로200,서울서부 녹번
2,서울특별시 은평구  응암로 208 ,서울서부 응암3
2,서울특별시 은평구  연서로 61,서울서부 역촌
1,서울특별시 강북구 도봉로 127,서울강북 미아
1,서울특별시 강북구 오현로 4,서울강북 솔샘
2,서울특별시 강북구  삼양로 305,서울강북 수유1
2,서울특별시 강북구 삼각산로 115,서울강북 수유2
2,서울특별시 강북구  한천로150길 76,서울강북 수유3
2,서울특별시 강북구 인수봉로 227,서울강북 인수
2,서울특별시 강북구  한천로 969,서울강북 번동
2,서울특별시 강북구  월계로 227,서울강북 번3
2,서울특별시 강북구  삼양로 239-1,서울강북 삼양
2,서울특별시 금천구 시흥대로57길 45,서울금천 금천
1,서울특별시 금천구  독산로 76길 20,서울금천 문성
1,서울특별시 금천구  탑골로2길 37 백산지구대,서울금천 백산
2,서울특별시 금천구  벚꽃로56길 174,서울금천 가산
2,서울특별시 금천구  벚꽃로10길 89,서울금천 독산
1,서울특별시 중랑구  망우로 391,서울중랑 망우
1,서울특별시 중랑구  중랑천로 146,서울중랑 중화
1,서울특별시 중랑구 동일로 566,서울중랑 용마
1,서울특별시 중랑구  신내로 177,서울중랑 봉화
2,서울특별시 중랑구  상봉로 27,서울중랑 면목본동
2,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소),서울중랑 면목삼팔
2,서울특별시 중랑구  중랑천로 69 상봉파출소,서울중랑 상봉
2,서울특별시 중랑구 숙선옹주로7길 1,서울중랑 먹골
1,서울특별시 강남구 언주로108길 20,서울강남 역삼
2,서울특별시 강남구 학동로 169,서울강남 논현1
2,서울특별시 강남구 학동로 227,서울강남 논현2
2,서울특별시 강남구 영동대로112길 4,서울강남 삼성1
2,서울특별시 강남구 선릉로 626,서울강남 삼성2
2,서울특별시 강남구 학동로95길 19,서울강남 청담
2,서울특별시 강남구 도산대로 143,서울강남 신사
2,서울특별시 강남구 압구정로 311,서울강남 압구정
1,서울특별시 관악구  남부순환로191길 12 당곡지구대,서울관악 당곡
1,"서울특별시 관악구  봉천로 540, 낙성대지구대",서울관악 낙성대
1,서울특별시 관악구  남부순환로188길 12 신림지구대,서울관악 신림
1,서울특별시 관악구  신림로 178 관악산지구대,서울관악 관악산
1,서울특별시 관악구 은천로 93,서울관악 구암
2,서울특별시 관악구  남현1가길 29 남현파출소,서울관악 남현
2,서울특별시 관악구  난곡로64 난우파출소,서울관악 난우
2,서울특별시 관악구  난곡로64가길 31,서울관악 미성
1,서울특별시 관악구  신사로 106,서울관악 신사
1,서울특별시 강서구  화곡로 308,서울강서 화곡
1,서울특별시 강서구  방화동로 5 ,서울강서 공항
